Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:2.140,"urn:cite:hmt:vaimg.VA027RN-0028@0.152,0.284,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.141,"urn:cite:hmt:vaimg.VA027RN-0028@0.152,0.3013,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.142,"urn:cite:hmt:vaimg.VA027RN-0028@0.151,0.3208,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.143,"urn:cite:hmt:vaimg.VA027RN-0028@0.151,0.3411,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.144,"urn:cite:hmt:vaimg.VA027RN-0028@0.151,0.3576,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.145,"urn:cite:hmt:vaimg.VA027RN-0028@0.149,0.3794,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.146,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.3974,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.147,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.4162,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.148,"urn:cite:hmt:vaimg.VA027RN-0028@0.16,0.435,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.149,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.456,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.150,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.4733,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.151,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.4921,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.152,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.5101,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.153,"urn:cite:hmt:vaimg.VA027RN-0028@0.162,0.5312,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.154,"urn:cite:hmt:vaimg.VA027RN-0028@0.161,0.5485,0.359,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.155,"urn:cite:hmt:vaimg.VA027RN-0028@0.16,0.5657,0.374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.156,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.586,0.374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.157,"urn:cite:hmt:vaimg.VA027RN-0028@0.158,0.6063,0.374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.158,"urn:cite:hmt:vaimg.VA027RN-0028@0.153,0.6251,0.374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.159,"urn:cite:hmt:vaimg.VA027RN-0028@0.153,0.6446,0.374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.160,"urn:cite:hmt:vaimg.VA027RN-0028@0.152,0.6604,0.396,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:2.161,"urn:cite:hmt:vaimg.VA027VN-0529@0.494,0.2201,0.329,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.162,"urn:cite:hmt:vaimg.VA027VN-0529@0.494,0.2397,0.342,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.163,"urn:cite:hmt:vaimg.VA027VN-0529@0.494,0.2569,0.342,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.164,"urn:cite:hmt:vaimg.VA027VN-0529@0.499,0.2742,0.342,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.165,"urn:cite:hmt:vaimg.VA027VN-0529@0.502,0.2953,0.342,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.166,"urn:cite:hmt:vaimg.VA027VN-0529@0.502,0.3148,0.342,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.167,"urn:cite:hmt:vaimg.VA027VN-0529@0.494,0.3351,0.322,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.169,"urn:cite:hmt:vaimg.VA027VN-0529@0.5,0.3539,0.322,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.170,"urn:cite:hmt:vaimg.VA027VN-0529@0.5,0.3704,0.349,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.171,"urn:cite:hmt:vaimg.VA027VN-0529@0.499,0.3899,0.349,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.172,"urn:cite:hmt:vaimg.VA027VN-0529@0.501,0.408,0.369,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.173,"urn:cite:hmt:vaimg.VA027VN-0529@0.497,0.4275,0.34,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.174,"urn:cite:hmt:vaimg.VA027VN-0529@0.496,0.4448,0.34,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.175,"urn:cite:hmt:vaimg.VA027VN-0529@0.492,0.4658,0.32,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.176,"urn:cite:hmt:vaimg.VA027VN-0529@0.494,0.4808,0.355,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.177,"urn:cite:hmt:vaimg.VA027VN-0529@0.495,0.5004,0.355,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.178,"urn:cite:hmt:vaimg.VA027VN-0529@0.502,0.5192,0.355,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.179,"urn:cite:hmt:vaimg.VA027VN-0529@0.498,0.5372,0.355,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.180,"urn:cite:hmt:vaimg.VA027VN-0529@0.498,0.5545,0.355,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.181,"urn:cite:hmt:vaimg.VA027VN-0529@0.499,0.5733,0.355,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.182,"urn:cite:hmt:vaimg.VA027VN-0529@0.497,0.5898,0.385,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:2.183,"urn:cite:hmt:vaimg.VA027VN-0529@0.501,0.6093,0.385,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:2.184,"urn:cite:hmt:vaimg.VA027VN-0529@0.505,0.6281,0.34,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:2.185,"urn:cite:hmt:vaimg.VA027VN-0529@0.513,0.6446,0.34,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:2.186,"urn:cite:hmt:vaimg.VA027VN-0529@0.506,0.6649,0.349,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:2.187,"urn:cite:hmt:vaimg.VA028RN-0029@0.157,0.2036,0.38,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.188,"urn:cite:hmt:vaimg.VA028RN-0029@0.157,0.2209,0.38,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.189,"urn:cite:hmt:vaimg.VA028RN-0029@0.157,0.2389,0.38,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.190,"urn:cite:hmt:vaimg.VA028RN-0029@0.157,0.2577,0.38,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.191,"urn:cite:hmt:vaimg.VA028RN-0029@0.156,0.2765,0.38,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.192,"urn:cite:hmt:vaimg.VA028RN-0029@0.156,0.2953,0.38,0.0278"
