Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.110,"urn:cite:hmt:vaimg.VA156VN-0658@0.5015,0.3945,0.4222,0.0228"
urn:cts:greekLit:tlg0012.tlg001.msA:12.111,"urn:cite:hmt:vaimg.VA156VN-0658@0.501,0.4143,0.4222,0.0198"
urn:cts:greekLit:tlg0012.tlg001.msA:12.112,"urn:cite:hmt:vaimg.VA156VN-0658@0.502,0.4314,0.3605,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:12.113,"urn:cite:hmt:vaimg.VA156VN-0658@0.5035,0.4509,0.4366,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:12.114,"urn:cite:hmt:vaimg.VA156VN-0658@0.502,0.4699,0.3993,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:12.115,"urn:cite:hmt:vaimg.VA156VN-0658@0.4955,0.4882,0.3918,0.0213"
urn:cts:greekLit:tlg0012.tlg001.msA:12.116,"urn:cite:hmt:vaimg.VA156VN-0658@0.5015,0.5061,0.4399,0.0249"
urn:cts:greekLit:tlg0012.tlg001.msA:12.117,"urn:cite:hmt:vaimg.VA156VN-0658@0.5015,0.5283,0.3557,0.0222"
urn:cts:greekLit:tlg0012.tlg001.msA:12.118,"urn:cite:hmt:vaimg.VA156VN-0658@0.504,0.5476,0.3958,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.119,"urn:cite:hmt:vaimg.VA156VN-0658@0.5035,0.5656,0.3983,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.120,"urn:cite:hmt:vaimg.VA156VN-0658@0.504,0.5856,0.4254,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.121,"urn:cite:hmt:vaimg.VA156VN-0658@0.507,0.6041,0.4169,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.122,"urn:cite:hmt:vaimg.VA156VN-0658@0.505,0.6214,0.4234,0.0249"
urn:cts:greekLit:tlg0012.tlg001.msA:12.123,"urn:cite:hmt:vaimg.VA156VN-0658@0.506,0.644,0.4234,0.0185"
urn:cts:greekLit:tlg0012.tlg001.msA:12.124,"urn:cite:hmt:vaimg.VA156VN-0658@0.5035,0.658,0.4319,0.0237"
urn:cts:greekLit:tlg0012.tlg001.msA:12.125,"urn:cite:hmt:vaimg.VA156VN-0658@0.504,0.6772,0.4319,0.0362"
urn:cts:greekLit:tlg0012.tlg001.msA:12.126,"urn:cite:hmt:vaimg.VA157RN-0328@0.1782,0.2066,0.4034,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.127,"urn:cite:hmt:vaimg.VA157RN-0328@0.1782,0.2269,0.4034,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.128,"urn:cite:hmt:vaimg.VA157RN-0328@0.1762,0.2464,0.3854,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.129,"urn:cite:hmt:vaimg.VA157RN-0328@0.1782,0.2652,0.3854,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.130,"urn:cite:hmt:vaimg.VA157RN-0328@0.1752,0.281,0.3303,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.131,"urn:cite:hmt:vaimg.VA157RN-0328@0.1742,0.2983,0.3804,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.132,"urn:cite:hmt:vaimg.VA157RN-0328@0.1732,0.3163,0.3904,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.133,"urn:cite:hmt:vaimg.VA157RN-0328@0.1722,0.3366,0.3904,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.134,"urn:cite:hmt:vaimg.VA157RN-0328@0.1722,0.3576,0.3904,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.135,"urn:cite:hmt:vaimg.VA157RN-0328@0.1722,0.3764,0.3904,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.136,"urn:cite:hmt:vaimg.VA157RN-0328@0.1712,0.3937,0.4164,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:12.137,"urn:cite:hmt:vaimg.VA157RN-0328@0.1572,0.414,0.4354,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.138,"urn:cite:hmt:vaimg.VA157RN-0328@0.1732,0.4335,0.3964,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.139,"urn:cite:hmt:vaimg.VA157RN-0328@0.1532,0.4515,0.4454,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.140,"urn:cite:hmt:vaimg.VA157RN-0328@0.1642,0.4703,0.4254,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.141,"urn:cite:hmt:vaimg.VA157RN-0328@0.1662,0.4869,0.3784,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.142,"urn:cite:hmt:vaimg.VA157RN-0328@0.1622,0.5041,0.4044,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.143,"urn:cite:hmt:vaimg.VA157RN-0328@0.1672,0.5274,0.4184,0.024"
