urn:cts:greekLit:tlg5026.e3.hmt:8.354	urn:cts:greekLit:tlg0012.tlg001.e3:8.487-8.488
urn:cts:greekLit:tlg5026.e3.hmt:8.355	urn:cts:greekLit:tlg0012.tlg001.e3:8.490
urn:cts:greekLit:tlg5026.e3.hmt:8.367	urn:cts:greekLit:tlg0012.tlg001.e3:8.493
urn:cts:greekLit:tlg5026.e3.hmt:8.368	urn:cts:greekLit:tlg0012.tlg001.e3:8.494
urn:cts:greekLit:tlg5026.e3.hmt:8.369	urn:cts:greekLit:tlg0012.tlg001.e3:8.497-8.499
urn:cts:greekLit:tlg5026.e3.hmt:8.371	urn:cts:greekLit:tlg0012.tlg001.e3:8.503-8.504
urn:cts:greekLit:tlg5026.e3.hmt:8.373	urn:cts:greekLit:tlg0012.tlg001.e3:8.507
urn:cts:greekLit:tlg5026.e3.hmt:8.375	urn:cts:greekLit:tlg0012.tlg001.e3:8.509-8.511
urn:cts:greekLit:tlg5026.e3.hmt:8.376	urn:cts:greekLit:tlg0012.tlg001.e3:8.513
urn:cts:greekLit:tlg5026.e3.hmt:8.384	urn:cts:greekLit:tlg0012.tlg001.e3:8.519
urn:cts:greekLit:tlg5026.e3.hmt:8.385	urn:cts:greekLit:tlg0012.tlg001.e3:8.520
urn:cts:greekLit:tlg5026.e3.hmt:8.387	urn:cts:greekLit:tlg0012.tlg001.e3:8.523
urn:cts:greekLit:tlg5026.e3.hmt:8.388	urn:cts:greekLit:tlg0012.tlg001.e3:8.524
urn:cts:greekLit:tlg5026.e3.hmt:8.390	urn:cts:greekLit:tlg0012.tlg001.e3:8.526-8.527
urn:cts:greekLit:tlg5026.e3.hmt:8.393	urn:cts:greekLit:tlg0012.tlg001.e3:8.532-8.534
urn:cts:greekLit:tlg5026.e3.hmt:8.394	urn:cts:greekLit:tlg0012.tlg001.e3:8.537
urn:cts:greekLit:tlg5026.e3.hmt:8.406	urn:cts:greekLit:tlg0012.tlg001.e3:8.538-8.539
urn:cts:greekLit:tlg5026.e3.hmt:8.407	urn:cts:greekLit:tlg0012.tlg001.e3:8.542
urn:cts:greekLit:tlg5026.e3.hmt:8.409	urn:cts:greekLit:tlg0012.tlg001.e3:8.555
urn:cts:greekLit:tlg5026.e3.hmt:8.412	urn:cts:greekLit:tlg0012.tlg001.e3:8.560
urn:cts:greekLit:tlg5026.e3.hmt:8.413	urn:cts:greekLit:tlg0012.tlg001.e3:8.562-8.563
urn:cts:greekLit:tlg5026.e3.hmt:8.415	urn:cts:greekLit:tlg0012.tlg001.e3:8.563
