IliadZone,Folio,ImageRoI,Notes
"urn:cite:hmt:textblock.13".v1,urn:cite:hmt:msA.18r,"urn:cite:hmt:vaimg.VA018RN_0019.v1@0.1642,0.2036,0.3904,0.4831",
"urn:cite:hmt:textblock.14".v1,urn:cite:hmt:msA.18v,"urn:cite:hmt:vaimg.VA018VN_0520.v1@0.5165,0.2156,0.3724,0.4778",
"urn:cite:hmt:textblock.15".v1,urn:cite:hmt:msA.19r,"urn:cite:hmt:vaimg.VA019RN_0020.v1@0.1602,0.2081,0.3694,0.4808",
"urn:cite:hmt:textblock.16".v1,urn:cite:hmt:msA.19v,"urn:cite:hmt:vaimg.VA019VN_0521.v1@0.5325,0.2149,0.3814,0.4688",
"urn:cite:hmt:textblock.17".v1,urn:cite:hmt:msA.20r,"urn:cite:hmt:vaimg.VA020RN_0021.v1@0.1702,0.2119,0.3944,0.4733",
"urn:cite:hmt:textblock.18".v1,urn:cite:hmt:msA.20v,"urn:cite:hmt:vaimg.VA020VN_0522.v1@0.5075,0.2209,0.3914,0.4756",
"urn:cite:hmt:textblock.19".v1,urn:cite:hmt:msA.21r,"urn:cite:hmt:vaimg.VA021RN_0022.v1@0.1712,0.2141,0.3924,0.4748",
"urn:cite:hmt:textblock.20".v1,urn:cite:hmt:msA.21v,"urn:cite:hmt:vaimg.VA021VN_0523.v1@0.5015,0.2231,0.3964,0.4748",
"urn:cite:hmt:textblock.21".v1,urn:cite:hmt:msA.22r,"urn:cite:hmt:vaimg.VA022RN_0023.v1@0.1802,0.2089,0.3824,0.4786",
"urn:cite:hmt:textblock.22".v1,urn:cite:hmt:msA.22v,"urn:cite:hmt:vaimg.VA022VN_0524.v1@0.4965,0.2119,0.4194,0.4823",
"urn:cite:hmt:textblock.23".v1,urn:cite:hmt:msA.23r,"urn:cite:hmt:vaimg.VA023RN_0024.v1@0.1762,0.2126,0.3874,0.4718",
"urn:cite:hmt:textblock.24".v1,urn:cite:hmt:msA.23v,"urn:cite:hmt:vaimg.VA023VN_0525.v1@0.4925,0.2179,0.3834,0.4756",
"urn:cite:hmt:textblock.25".v1,urn:cite:hmt:msA.24r,"urn:cite:hmt:vaimg.VA024RN_0025.v1@0.1331,0.2044,0.4254,0.4831",Book Beta begins
"urn:cite:hmt:textblock.26".v1,urn:cite:hmt:msA.24v,"urn:cite:hmt:vaimg.VA024VN_0526.v1@0.5015,0.2149,0.4044,0.4741",
"urn:cite:hmt:textblock.27".v1,urn:cite:hmt:msA.25r,"urn:cite:hmt:vaimg.VA025RN_0026.v1@0.1692,0.2149,0.3984,0.4726",
"urn:cite:hmt:textblock.28".v1,urn:cite:hmt:msA.25v,"urn:cite:hmt:vaimg.VA025VN_0527.v1@0.4885,0.2185,0.3614,0.4805",
"urn:cite:hmt:textblock.29".v1,urn:cite:hmt:msA.26r,"urn:cite:hmt:vaimg.VA026RN_0027.v1@0.1612,0.2081,0.3854,0.4786",
"urn:cite:hmt:textblock.30".v1,urn:cite:hmt:msA.26v,"urn:cite:hmt:vaimg.VA026VN_0528.v1@0.4875,0.2254,0.3834,0.4703",
"urn:cite:hmt:textblock.31".v1,urn:cite:hmt:msA.27r,"urn:cite:hmt:vaimg.VA027RN_0028.v1@0.1572,0.2134,0.3914,0.4748",
"urn:cite:hmt:textblock.32".v1,urn:cite:hmt:msA.27v,"urn:cite:hmt:vaimg.VA027VN_0529.v1@0.4965,0.2261,0.3934,0.4703",
"urn:cite:hmt:textblock.33".v1,urn:cite:hmt:msA.28r,"urn:cite:hmt:vaimg.VA028RN_0029.v1@0.1652,0.2096,0.3994,0.4771",
"urn:cite:hmt:textblock.34".v1,urn:cite:hmt:msA.28v,"urn:cite:hmt:vaimg.VA028VN_0530.v1@0.4985,0.2209,0.4014,0.4703",
