OccurrrenceUrn.v1	TextPassage
urn:cite:hmt:venAsign.263.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.498
urn:cite:hmt:venAsign.264.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.500
urn:cite:hmt:venAsign.265.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.502
urn:cite:hmt:venAsign.266.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.507
urn:cite:hmt:venAsign.267.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.511
urn:cite:hmt:venAsign.268.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.517
urn:cite:hmt:venAsign.269.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.520
urn:cite:hmt:venAsign.270.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.527
urn:cite:hmt:venAsign.271.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.528
urn:cite:hmt:venAsign.272.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.529
urn:cite:hmt:venAsign.273.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.530
urn:cite:hmt:venAsign.274.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.532
urn:cite:hmt:venAsign.275.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.547
urn:cite:hmt:venAsign.276.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.553
urn:cite:hmt:venAsign.277.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.570
urn:cite:hmt:venAsign.278.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.571
urn:cite:hmt:venAsign.279.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.579
urn:cite:hmt:venAsign.280.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.580
urn:cite:hmt:venAsign.281.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.581
urn:cite:hmt:venAsign.282.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.582
urn:cite:hmt:venAsign.283.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.590
